gbifID,eventDate,decimalLatitude,decimalLongitude,level0Gid,species,occurrenceStatus
2423011701,2019-08-28 09:24:00,-33.925746,151.164082,AUS,Litoria fallax,1
2236299662,2018-02-13 23:02:00,-31.732415,152.088515,AUS,Litoria fallax,1
3031765405,2018-02-20 15:20:00,-27.400618,152.800944,AUS,Litoria fallax,1
2446280067,2018-01-22 00:00:00,-33.08688,151.42057,AUS,Litoria fallax,1
1920828156,2018-10-06 12:20:00,-27.461784,152.882858,AUS,Litoria fallax,1
3108953063,2019-11-03 00:00:00,-33.755278,150.623221,AUS,Litoria fallax,1
3108952573,2019-11-04 00:00:00,-33.755291,150.623651,AUS,Litoria fallax,1
3108929113,2018-12-30 00:00:00,-33.3247,151.364,AUS,Litoria fallax,1
3108869522,2019-09-22 00:00:00,-33.3249,151.365,AUS,Litoria fallax,1
3108948662,2018-10-30 00:00:00,-29.618972,152.977267,AUS,Litoria fallax,1
3108869661,2018-11-12 00:00:00,-33.397549,151.377755,AUS,Litoria fallax,1
3108846747,2018-11-08 00:00:00,-33.98233,151.246871,AUS,Litoria fallax,1
3108924129,2019-01-25 00:00:00,-33.3248,151.365,AUS,Litoria fallax,1
3108860625,2018-12-20 00:00:00,-33.3244,151.365,AUS,Litoria fallax,1
3108929836,2018-10-25 00:00:00,-29.505351,152.82382,AUS,Litoria fallax,1
2421614767,2019-02-17 00:00:00,-33.836398,151.059792,AUS,Litoria fallax,1
1916153921,2018-03-23 00:00:00,-30.952236,152.858398,AUS,Litoria fallax,1
2421298424,2019-02-27 00:00:00,-34.899221,150.602194,AUS,Litoria fallax,1
3108933335,2019-09-12 00:00:00,-33.4013,151.462,AUS,Litoria fallax,1
3108942512,2019-11-03 00:00:00,-33.013733,151.246863,AUS,Litoria fallax,1
2420988034,2019-02-14 00:00:00,-33.840416,151.07044,AUS,Litoria fallax,1
3108892729,2018-11-07 00:00:00,-32.9943,151.663,AUS,Litoria fallax,1
3108902013,2018-10-14 00:00:00,-32.7284,151.854,AUS,Litoria fallax,1
3108913605,2019-01-28 00:00:00,-29.1913,152.785,AUS,Litoria fallax,1
3108856660,2018-12-01 00:00:00,-33.3249,151.364,AUS,Litoria fallax,1
3108854103,2019-02-02 00:00:00,-33.3247,151.365,AUS,Litoria fallax,1
3108846466,2019-10-02 00:00:00,-33.3251,151.365,AUS,Litoria fallax,1
1916435246,2018-02-08 00:00:00,-33.836298,151.0737,AUS,Litoria fallax,1
3108864359,2018-10-08 00:00:00,-30.165866,153.160006,AUS,Litoria fallax,1
2421298891,2018-11-16 00:00:00,-33.699096,151.154258,AUS,Litoria fallax,1
3108887372,2019-02-12 00:00:00,-33.3247,151.365,AUS,Litoria fallax,1
3108947080,2018-10-15 00:00:00,-33.734903,151.233162,AUS,Litoria fallax,1
3108850420,2018-12-20 00:00:00,-34.49539,150.774962,AUS,Litoria fallax,1
3108860503,2018-11-17 00:00:00,-34.077828,151.055528,AUS,Litoria fallax,1
3108896046,2019-01-29 00:00:00,-33.3245,151.365,AUS,Litoria fallax,1
3108855649,2018-11-24 00:00:00,-33.773201,150.973266,AUS,Litoria fallax,1
2421455759,2019-02-12 00:00:00,-33.840416,151.07044,AUS,Litoria fallax,1
3108953580,2019-04-17 00:00:00,-33.4014,151.462,AUS,Litoria fallax,1
3108930827,2018-12-06 00:00:00,-33.3247,151.365,AUS,Litoria fallax,1
3108927430,2018-06-20 00:00:00,-32.9864,151.593,AUS,Litoria fallax,1
3108916646,2018-10-18 00:00:00,-32.549159,151.241154,AUS,Litoria fallax,1
3108860391,2018-12-22 00:00:00,-33.3248,151.364,AUS,Litoria fallax,1
3108924441,2018-09-05 00:00:00,-28.669,153.605,AUS,Litoria fallax,1
3108904628,2019-01-31 00:00:00,-33.3246,151.365,AUS,Litoria fallax,1
2992525326,2019-09-16 00:00:00,-33.245304,151.455963,AUS,Litoria fallax,1
3108947547,2018-12-01 00:00:00,-35.828,150.173,AUS,Litoria fallax,1
3108862908,2019-09-27 00:00:00,-33.3247,151.365,AUS,Litoria fallax,1
3108847564,2018-11-11 00:00:00,-35.822793,150.126062,AUS,Litoria fallax,1
3108940684,2019-01-02 00:00:00,-33.397547,151.377767,AUS,Litoria fallax,1
3108859843,2019-09-26 00:00:00,-33.3249,151.365,AUS,Litoria fallax,1
3108940931,2018-10-21 00:00:00,-29.506225,152.824391,AUS,Litoria fallax,1
3108943176,2018-10-28 00:00:00,-34.496401,150.762648,AUS,Litoria fallax,1
3108851610,2019-09-22 00:00:00,-33.3247,151.365,AUS,Litoria fallax,1
