gbifID,eventDate,decimalLatitude,decimalLongitude,level0Gid,species,occurrenceStatus,Season
2423011701,2019-08-28 09:24:00,-33.925746,151.164082,AUS,Litoria fallax,1,Winter
2236299662,2018-02-13 23:02:00,-31.732415,152.088515,AUS,Litoria fallax,1,Summer
2563750401,2017-10-25 21:07:00,-32.968624,151.644194,AUS,Litoria fallax,1,Spring
1850994254,2017-11-30 08:35:00,-33.093048,151.4163,AUS,Litoria fallax,1,Spring
2456512415,2016-04-17 11:12:00,-27.476426,152.977687,AUS,Litoria fallax,1,Autumn
3031765405,2018-02-20 15:20:00,-27.400618,152.800944,AUS,Litoria fallax,1,Summer
2446170390,2017-01-01 00:00:00,-32.83969,151.70187,AUS,Litoria fallax,1,Summer
2446280067,2018-01-22 00:00:00,-33.08688,151.42057,AUS,Litoria fallax,1,Summer
1920828156,2018-10-06 12:20:00,-27.461784,152.882858,AUS,Litoria fallax,1,Spring
3108894201,2017-11-12 00:00:00,-33.699881,151.043367,AUS,Litoria fallax,1,Spring
3108953063,2019-11-03 00:00:00,-33.755278,150.623221,AUS,Litoria fallax,1,Spring
3108952573,2019-11-04 00:00:00,-33.755291,150.623651,AUS,Litoria fallax,1,Spring
3108929113,2018-12-30 00:00:00,-33.3247,151.364,AUS,Litoria fallax,1,Summer
3108903645,2017-12-08 00:00:00,-28.512268,153.421007,AUS,Litoria fallax,1,Summer
3108869522,2019-09-22 00:00:00,-33.3249,151.365,AUS,Litoria fallax,1,Spring
1452191385,2016-01-18 00:00:00,-34.897855,150.638757,AUS,Litoria fallax,1,Summer
1452200212,2015-06-16 00:00:00,-33.951844,150.87043,AUS,Litoria fallax,1,Winter
1452535942,2015-12-12 00:00:00,-33.837991,151.074188,AUS,Litoria fallax,1,Summer
3108948662,2018-10-30 00:00:00,-29.618972,152.977267,AUS,Litoria fallax,1,Spring
3108869661,2018-11-12 00:00:00,-33.397549,151.377755,AUS,Litoria fallax,1,Spring
3108846747,2018-11-08 00:00:00,-33.98233,151.246871,AUS,Litoria fallax,1,Spring
3108924129,2019-01-25 00:00:00,-33.3248,151.365,AUS,Litoria fallax,1,Summer
3108900849,2017-11-11 00:00:00,-32.875456,151.696757,AUS,Litoria fallax,1,Spring
1916646699,2017-10-13 00:00:00,-34.200613,150.705572,AUS,Litoria fallax,1,Spring
3108860625,2018-12-20 00:00:00,-33.3244,151.365,AUS,Litoria fallax,1,Summer
3108924723,2017-11-21 00:00:00,-35.828,150.172,AUS,Litoria fallax,1,Spring
3108906817,2017-12-11 00:00:00,-28.7048,152.691,AUS,Litoria fallax,1,Summer
1452642339,2015-11-22 00:00:00,-34.893736,150.636197,AUS,Litoria fallax,1,Spring
1916459370,2017-04-06 00:00:00,-32.914159,151.630539,AUS,Litoria fallax,1,Autumn
3108929836,2018-10-25 00:00:00,-29.505351,152.82382,AUS,Litoria fallax,1,Spring
2421614767,2019-02-17 00:00:00,-33.836398,151.059792,AUS,Litoria fallax,1,Summer
1916153921,2018-03-23 00:00:00,-30.952236,152.858398,AUS,Litoria fallax,1,Autumn
2421298424,2019-02-27 00:00:00,-34.899221,150.602194,AUS,Litoria fallax,1,Summer
3108933335,2019-09-12 00:00:00,-33.4013,151.462,AUS,Litoria fallax,1,Spring
2805911096,2017-08-10 00:00:00,-32.399014,151.662136,AUS,Litoria fallax,1,Winter
1452642868,2016-02-19 00:00:00,-34.950265,150.59958,AUS,Litoria fallax,1,Summer
3108942512,2019-11-03 00:00:00,-33.013733,151.246863,AUS,Litoria fallax,1,Spring
1452191608,2015-12-15 00:00:00,-32.832003,151.58485,AUS,Litoria fallax,1,Summer
2420988034,2019-02-14 00:00:00,-33.840416,151.07044,AUS,Litoria fallax,1,Summer
3108892729,2018-11-07 00:00:00,-32.9943,151.663,AUS,Litoria fallax,1,Spring
3108902013,2018-10-14 00:00:00,-32.7284,151.854,AUS,Litoria fallax,1,Spring
1452535888,2015-12-11 00:00:00,-33.835931,151.062409,AUS,Litoria fallax,1,Summer
3108913605,2019-01-28 00:00:00,-29.1913,152.785,AUS,Litoria fallax,1,Summer
3108856660,2018-12-01 00:00:00,-33.3249,151.364,AUS,Litoria fallax,1,Summer
3108854103,2019-02-02 00:00:00,-33.3247,151.365,AUS,Litoria fallax,1,Summer
3108846466,2019-10-02 00:00:00,-33.3251,151.365,AUS,Litoria fallax,1,Spring
3108880976,2017-11-11 00:00:00,-32.786149,151.654455,AUS,Litoria fallax,1,Spring
1916435246,2018-02-08 00:00:00,-33.836298,151.0737,AUS,Litoria fallax,1,Summer
3108864359,2018-10-08 00:00:00,-30.165866,153.160006,AUS,Litoria fallax,1,Spring
2421298891,2018-11-16 00:00:00,-33.699096,151.154258,AUS,Litoria fallax,1,Spring
3108887372,2019-02-12 00:00:00,-33.3247,151.365,AUS,Litoria fallax,1,Summer
3108947080,2018-10-15 00:00:00,-33.734903,151.233162,AUS,Litoria fallax,1,Spring
3108850420,2018-12-20 00:00:00,-34.49539,150.774962,AUS,Litoria fallax,1,Summer
3108860503,2018-11-17 00:00:00,-34.077828,151.055528,AUS,Litoria fallax,1,Spring
1452535370,2015-11-17 00:00:00,-33.835931,151.062409,AUS,Litoria fallax,1,Spring
3108896046,2019-01-29 00:00:00,-33.3245,151.365,AUS,Litoria fallax,1,Summer
1451764565,2016-11-22 00:00:00,-35.586768,150.170088,AUS,Litoria fallax,1,Spring
3108855649,2018-11-24 00:00:00,-33.773201,150.973266,AUS,Litoria fallax,1,Spring
2421455759,2019-02-12 00:00:00,-33.840416,151.07044,AUS,Litoria fallax,1,Summer
1916450192,2016-11-27 00:00:00,-33.835933,151.062409,AUS,Litoria fallax,1,Spring
1916225149,2017-10-25 00:00:00,-34.89924,150.640009,AUS,Litoria fallax,1,Spring
3108953580,2019-04-17 00:00:00,-33.4014,151.462,AUS,Litoria fallax,1,Autumn
3108930827,2018-12-06 00:00:00,-33.3247,151.365,AUS,Litoria fallax,1,Summer
1452191607,2015-12-15 00:00:00,-32.830653,151.580299,AUS,Litoria fallax,1,Summer
3108927430,2018-06-20 00:00:00,-32.9864,151.593,AUS,Litoria fallax,1,Winter
3108848597,2017-12-26 00:00:00,-28.714567,153.328004,AUS,Litoria fallax,1,Summer
3108865618,2017-12-09 00:00:00,-33.757069,150.623562,AUS,Litoria fallax,1,Summer
3108916646,2018-10-18 00:00:00,-32.549159,151.241154,AUS,Litoria fallax,1,Spring
3108874360,2017-11-25 00:00:00,-34.7473,150.567,AUS,Litoria fallax,1,Spring
3108860391,2018-12-22 00:00:00,-33.3248,151.364,AUS,Litoria fallax,1,Summer
3108924441,2018-09-05 00:00:00,-28.669,153.605,AUS,Litoria fallax,1,Spring
1916111076,2017-02-06 00:00:00,-33.841557,151.072879,AUS,Litoria fallax,1,Summer
3108904628,2019-01-31 00:00:00,-33.3246,151.365,AUS,Litoria fallax,1,Summer
2992525326,2019-09-16 00:00:00,-33.245304,151.455963,AUS,Litoria fallax,1,Spring
3108904314,2017-11-22 00:00:00,-35.828,150.172,AUS,Litoria fallax,1,Spring
3108947547,2018-12-01 00:00:00,-35.828,150.173,AUS,Litoria fallax,1,Summer
1916208376,2016-12-13 00:00:00,-32.858228,151.605454,AUS,Litoria fallax,1,Summer
3108862908,2019-09-27 00:00:00,-33.3247,151.365,AUS,Litoria fallax,1,Spring
3108847564,2018-11-11 00:00:00,-35.822793,150.126062,AUS,Litoria fallax,1,Spring
1915823279,2016-11-16 00:00:00,-33.839938,151.065574,AUS,Litoria fallax,1,Spring
1452642925,2015-11-20 00:00:00,-34.923118,150.635988,AUS,Litoria fallax,1,Spring
3108864476,2017-11-10 00:00:00,-32.35784,151.78064,AUS,Litoria fallax,1,Spring
3108940684,2019-01-02 00:00:00,-33.397547,151.377767,AUS,Litoria fallax,1,Summer
3108890686,2017-11-12 00:00:00,-31.9419,152.427,AUS,Litoria fallax,1,Spring
3108859843,2019-09-26 00:00:00,-33.3249,151.365,AUS,Litoria fallax,1,Spring
3108940931,2018-10-21 00:00:00,-29.506225,152.824391,AUS,Litoria fallax,1,Spring
3108856699,2017-11-14 00:00:00,-33.1653,151.568,AUS,Litoria fallax,1,Spring
3108943176,2018-10-28 00:00:00,-34.496401,150.762648,AUS,Litoria fallax,1,Spring
3108851610,2019-09-22 00:00:00,-33.3247,151.365,AUS,Litoria fallax,1,Spring
3108869763,2017-11-24 00:00:00,-32.968734,151.644205,AUS,Litoria fallax,1,Spring
1916336530,2016-11-21 00:00:00,-29.879407,152.019201,AUS,Litoria fallax,1,Spring
1452535166,2015-09-12 00:00:00,-33.828837,151.064869,AUS,Litoria fallax,1,Spring
1452642300,2016-01-21 00:00:00,-34.934477,150.602404,AUS,Litoria fallax,1,Summer
3108864509,2018-10-25 00:00:00,-33.4013,151.463,AUS,Litoria fallax,1,Spring
3108908053,2019-08-27 00:00:00,-28.324206,153.460666,AUS,Litoria fallax,1,Winter
3108882665,2018-11-16 00:00:00,-33.086823,151.420802,AUS,Litoria fallax,1,Spring
3108865142,2018-11-30 00:00:00,-33.0456,151.391,AUS,Litoria fallax,1,Spring
3108865145,2018-11-14 00:00:00,-32.7284,151.854,AUS,Litoria fallax,1,Spring
3108867446,2018-10-03 00:00:00,-33.832463,151.068529,AUS,Litoria fallax,1,Spring
1915817492,2016-12-08 00:00:00,-33.826288,151.053592,AUS,Litoria fallax,1,Summer
1452535266,2015-12-07 00:00:00,-33.839939,151.065573,AUS,Litoria fallax,1,Summer
3108925517,2019-10-30 00:00:00,-33.8787,151.168,AUS,Litoria fallax,1,Spring
3108854556,2019-09-03 00:00:00,-33.3246,151.365,AUS,Litoria fallax,1,Spring
3108925960,2019-11-06 00:00:00,-32.988349,151.661698,AUS,Litoria fallax,1,Spring
1457335138,2017-02-10 00:00:00,-34.898025,150.637319,AUS,Litoria fallax,1,Summer
3108845795,2018-11-13 00:00:00,-33.879011,151.167911,AUS,Litoria fallax,1,Spring
3108866157,2018-10-06 00:00:00,-32.741481,151.955164,AUS,Litoria fallax,1,Spring
3108904490,2017-12-31 00:00:00,-33.242611,151.397422,AUS,Litoria fallax,1,Summer
3108940170,2018-12-06 00:00:00,-33.3251,151.365,AUS,Litoria fallax,1,Summer
3108854893,2018-11-17 00:00:00,-33.789703,151.131294,AUS,Litoria fallax,1,Spring
3108921671,2018-09-14 00:00:00,-34.496422,150.762712,AUS,Litoria fallax,1,Spring
3108907416,2018-03-04 00:00:00,-28.272723,153.405233,AUS,Litoria fallax,1,Autumn
3108873966,2019-09-08 00:00:00,-32.220679,152.19531,AUS,Litoria fallax,1,Spring
3108860755,2018-10-16 00:00:00,-34.0739,151.057,AUS,Litoria fallax,1,Spring
3108914417,2018-10-19 00:00:00,-33.832488,151.068531,AUS,Litoria fallax,1,Spring
